Chappell Roan,Pop,The Rise and Fall of a Midwest Princess
Chappell Roan,Pop,Good Luck Babe
Chappell Roan,Pop,Pink Pony Club
VINI,Pop,messy love
kid apollo,Pop,said who?
Remy Bond,Pop,Summer Song
Kendrick Lamar,Rap,good kid m.A.A.d city
Kendrick Lamar,Rap,money trees
Doechii,Rap,Alligator Bites Never Heal
femdot.,Rap,94 Camry Music
Overpade,Rap,HYPNOTIK
Rascal Flatts,Country,Me and My Gang
Rascal Flatts,Country,Life is a Highway
Rachel Lee Roberts,Country,Get This Girl A Drink
Dalton Lee,Country,Homewrecker,
Adrianne Lenker,Country,Songs and Instrumentals
Blake Shelton,Country,Honey Bee
Blake Shelton,Country,Nobody but You
The Strokes,Rock,Is This It
The Garden,Rock,Mirror Might Steal Your Charm
Phonefoot,Rock,Align Again
The Beths,Rock,Future Me Hates Me
The Beths,Rock,Dying to Believe
Jonny Greenwood,Classical,Phantom Thread (Original Motion Picture Soundtrack)
Lake Isabel,Classical,Oak & Ivory
Eric Christian,Classical,Nocturne in D-Flat Major ""Un rêve""
Oberhofer,Classical,Time Capsules II
